iter	Passed	Remaining
411	3398	4850
412	3406	4841
413	3413	4831
414	3420	4822
415	3427	4812
416	3436	4804
417	3443	4794
418	3450	4785
419	3457	4775
420	3465	4765
421	3473	4758
422	3481	4748
423	3488	4739
424	3495	4728
425	3502	4719
426	3509	4709
427	3516	4699
428	3523	4690
429	3530	4680
430	3539	4672
431	3546	4662
432	3553	4653
433	3560	4642
434	3568	4634
435	3574	4624
436	3582	4615
437	3589	4606
438	3597	4596
439	3604	4587
440	3612	4578
441	3620	4570
442	3627	4561
443	3635	4552
444	3642	4543
445	3649	4533
446	3657	4524
447	3664	4515
448	3671	4505
449	3678	4496
450	3686	4488
451	3694	4478
452	3702	4470
453	3709	4461
454	3716	4451
455	3723	4442
456	3732	4434
457	3739	4425
458	3747	4416
459	3754	4407
460	3761	4398
461	3768	4388
462	3776	4380
463	3784	4371
464	3792	4363
465	3799	4354
466	3807	4345
467	3815	4336
468	3822	4327
469	3830	4319
470	3837	4310
471	3844	4300
472	3851	4290
473	3859	4282
474	3866	4272
475	3874	4265
476	3882	4256
477	3889	4247
478	3897	4239
479	3905	4230
480	3912	4221
481	3920	4212
482	3927	4204
483	3934	4194
484	3941	4185
485	3948	4175
486	3955	4167
487	3964	4159
488	3973	4151
489	3981	4143
490	3988	4134
491	3996	4126
492	4003	4117
493	4011	4109
494	4018	4099
495	4027	4092
496	4034	4083
497	4042	4074
498	4049	4065
499	4057	4057
500	4064	4048
501	4072	4039
502	4079	4030
503	4087	4022
504	4094	4013
505	4102	4004
506	4110	3996
507	4117	3988
508	4125	3979
509	4133	3971
510	4141	3963
511	4148	3954
512	4156	3946
513	4163	3936
514	4171	3928
515	4178	3919
516	4186	3911
517	4194	3902
518	4201	3894
519	4209	3885
520	4216	3876
521	4223	3867
522	4230	3858
523	4237	3849
524	4244	3840
525	4252	3832
526	4259	3823
527	4269	3816
528	4276	3807
529	4283	3798
530	4291	3790
531	4299	3782
532	4306	3773
533	4314	3764
534	4321	3756
535	4328	3747
536	4335	3737
537	4342	3728
538	4350	3720
539	4357	3711
540	4365	3704
541	4373	3695
542	4380	3687
543	4388	3678
544	4396	3670
545	4404	3662
546	4410	3652
547	4418	3644
548	4425	3635
549	4432	3626
550	4439	3617
551	4446	3608
552	4453	3599
553	4460	3591
554	4468	3582
555	4475	3573
556	4483	3565
557	4490	3556
558	4498	3548
559	4505	3539
560	4513	3532
561	4520	3523
562	4528	3514
563	4535	3506
564	4543	3498
565	4550	3489
566	4557	3480
567	4565	3472
568	4573	3464
569	4580	3455
570	4589	3447
571	4597	3440
572	4604	3430
573	4612	3423
574	4619	3414
575	4626	3405
576	4632	3396
577	4639	3387
578	4647	3379
579	4655	3371
580	4664	3363
581	4671	3355
582	4679	3347
583	4687	3339
584	4695	3330
585	4701	3321
586	4709	3313
587	4716	3304
588	4723	3295
589	4730	3287
590	4738	3278
591	4745	3270
592	4752	3261
593	4760	3253
594	4767	3244
595	4775	3236
596	4782	3228
597	4790	3220
598	4797	3211
599	4806	3204
600	4814	3196
601	4822	3188
602	4829	3179
603	4837	3171
604	4844	3163
605	4852	3154
606	4859	3146
607	4866	3137
608	4875	3129
609	4881	3121
610	4891	3114
611	4897	3105
612	4905	3097
613	4912	3088
614	4919	3079
615	4926	3071
616	4934	3062
617	4941	3054
618	4948	3045
619	4956	3037
620	4963	3029
621	4971	3021
622	4978	3012
623	4986	3004
624	4993	2996
625	5001	2987
626	5007	2979
627	5015	2970
628	5022	2962
629	5029	2953
630	5037	2945
631	5044	2937
632	5053	2930
633	5062	2922
634	5070	2914
635	5077	2905
636	5084	2897
637	5091	2889
638	5099	2881
639	5106	2872
640	5114	2864
641	5122	2856
642	5130	2848
643	5137	2840
644	5145	2832
645	5152	2823
646	5159	2815
647	5167	2807
648	5175	2798
649	5182	2790
650	5190	2782
651	5198	2774
652	5205	2766
653	5213	2758
654	5220	2749
655	5229	2742
656	5236	2734
657	5244	2725
658	5252	2717
659	5260	2709
660	5268	2701
661	5276	2693
662	5284	2686
663	5293	2678
664	5301	2670
665	5309	2662
666	5318	2655
667	5326	2647
668	5333	2638
669	5340	2630
670	5348	2622
671	5355	2613
672	5363	2606
673	5370	2597
674	5378	2589
675	5385	2581
676	5393	2573
677	5400	2564
678	5407	2556
679	5414	2547
680	5421	2539
681	5429	2531
682	5437	2523
683	5445	2515
684	5452	2507
685	5460	2499
686	5468	2491
687	5475	2483
688	5482	2474
689	5490	2466
690	5498	2458
691	5505	2450
692	5512	2442
693	5519	2433
694	5528	2426
695	5535	2417
696	5542	2409
697	5549	2401
698	5558	2393
699	5564	2384
700	5573	2377
701	5580	2368
702	5588	2360
703	5595	2352
704	5603	2344
705	5609	2336
706	5616	2327
707	5624	2319
708	5631	2311
709	5639	2303
710	5646	2295
711	5654	2287
712	5661	2278
713	5669	2270
714	5677	2262
715	5684	2254
716	5692	2246
717	5699	2238
718	5705	2229
719	5714	2222
720	5721	2213
721	5728	2205
722	5736	2197
723	5743	2189
724	5751	2181
725	5758	2173
726	5765	2165
727	5773	2157
728	5780	2148
729	5787	2140
730	5794	2132
731	5801	2124
732	5808	2115
733	5816	2107
734	5824	2099
735	5832	2091
736	5840	2084
737	5848	2076
738	5856	2068
739	5864	2060
740	5871	2052
741	5878	2043
742	5885	2035
743	5892	2027
744	5899	2019
745	5906	2011
746	5914	2003
747	5922	1995
748	5930	1987
749	5937	1979
750	5944	1971
751	5952	1963
752	5960	1955
753	5967	1947
754	5974	1938
755	5982	1930
756	5989	1922
757	5996	1914
758	6003	1906
759	6011	1898
760	6018	1890
761	6026	1882
762	6034	1874
763	6041	1866
764	6049	1858
765	6056	1850
766	6064	1842
767	6071	1834
768	6079	1826
769	6085	1817
770	6093	1809
771	6100	1801
772	6109	1794
773	6117	1786
774	6126	1778
775	6135	1771
776	6143	1763
777	6150	1755
778	6157	1746
779	6165	1738
780	6172	1730
781	6179	1722
782	6186	1714
783	6194	1706
784	6201	1698
785	6209	1690
786	6215	1682
787	6223	1674
788	6231	1666
789	6238	1658
790	6247	1650
791	6255	1642
792	6263	1634
793	6270	1626
794	6277	1618
795	6284	1610
796	6292	1602
797	6299	1594
798	6308	1586
799	6315	1578
800	6324	1571
801	6331	1563
802	6339	1555
803	6347	1547
804	6354	1539
805	6361	1531
806	6368	1523
807	6376	1515
808	6383	1507
809	6391	1499
810	6398	1491
811	6405	1483
812	6412	1475
813	6420	1467
814	6427	1459
815	6435	1451
816	6443	1443
817	6451	1435
818	6459	1427
819	6466	1419
820	6474	1411
821	6480	1403
822	6488	1395
823	6496	1387
824	6504	1379
825	6511	1371
826	6519	1363
827	6526	1355
828	6534	1347
829	6542	1339
830	6549	1332
831	6557	1324
832	6564	1316
833	6572	1308
834	6579	1300
835	6587	1292
836	6593	1284
837	6601	1276
838	6608	1268
839	6616	1260
840	6623	1252
841	6630	1244
842	6638	1236
843	6647	1228
844	6655	1220
845	6663	1212
846	6670	1204
847	6677	1196
848	6684	1188
849	6691	1180
850	6699	1172
851	6706	1164
852	6714	1157
853	6721	1149
854	6729	1141
855	6736	1133
856	6744	1125
857	6752	1117
858	6759	1109
859	6767	1101
860	6775	1093
861	6782	1085
862	6789	1077
863	6796	1069
864	6803	1061
865	6810	1053
866	6818	1045
867	6825	1037
868	6833	1030
869	6840	1022
870	6848	1014
871	6855	1006
872	6863	998
873	6870	990
874	6878	982
875	6885	974
876	6895	967
877	6902	959
878	6910	951
879	6917	943
880	6925	935
881	6932	927
882	6939	919
883	6947	911
884	6954	903
885	6962	895
886	6969	887
887	6976	879
888	6983	871
889	6991	864
890	6999	856
891	7006	848
892	7013	840
893	7020	832
894	7029	824
895	7036	816
896	7044	808
897	7051	800
898	7059	793
899	7065	785
900	7074	777
901	7081	769
902	7089	761
903	7096	753
904	7105	745
905	7112	737
906	7120	730
907	7127	722
908	7136	714
909	7143	706
910	7151	698
911	7158	690
912	7165	682
913	7173	674
914	7180	667
915	7188	659
916	7197	651
917	7207	643
918	7214	635
919	7222	628
920	7228	620
921	7236	612
922	7243	604
923	7252	596
924	7259	588
925	7266	580
926	7275	572
927	7285	565
928	7293	557
929	7302	549
930	7310	541
931	7318	533
932	7325	526
933	7333	518
934	7341	510
935	7348	502
936	7356	494
937	7363	486
938	7370	478
939	7378	470
940	7386	463
941	7393	455
942	7401	447
943	7408	439
944	7416	431
945	7424	423
946	7432	415
947	7439	408
948	7447	400
949	7454	392
950	7462	384
951	7469	376
952	7476	368
953	7484	360
954	7490	352
955	7499	345
956	7506	337
957	7513	329
958	7520	321
959	7529	313
960	7536	305
961	7545	298
962	7552	290
963	7559	282
964	7567	274
965	7575	266
966	7582	258
967	7589	250
968	7597	243
969	7604	235
970	7612	227
971	7618	219
972	7626	211
973	7634	203
974	7641	195
975	7649	188
976	7656	180
977	7665	172
978	7672	164
979	7681	156
980	7688	148
981	7696	141
982	7703	133
983	7711	125
984	7717	117
985	7725	109
986	7732	101
987	7740	94
988	7747	86
989	7755	78
990	7763	70
991	7770	62
992	7778	54
993	7786	47
994	7794	39
995	7801	31
996	7809	23
997	7817	15
998	7826	7
999	7834	0
